timestamp_ms,pass_id,row_index,x_m,y_m,zone_id,target_rate_kg_ha,target_mass_g_min,strategy_opening_mm,target_speed_r_min,selected_model,domain_status,status
2000,1,3,3.3333333333333344,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2000,1,4,3.3333333333333344,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2000,1,5,3.3333333333333344,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2000,1,6,3.3333333333333344,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2200,1,1,3.666666666666668,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2200,1,2,3.666666666666668,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2200,1,3,3.666666666666668,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2200,1,4,3.666666666666668,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2200,1,5,3.666666666666668,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2200,1,6,3.666666666666668,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2400,1,1,4.000000000000001,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2400,1,2,4.000000000000001,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2400,1,3,4.000000000000001,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2400,1,4,4.000000000000001,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2400,1,5,4.000000000000001,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2400,1,6,4.000000000000001,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2600,1,1,4.333333333333334,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2600,1,2,4.333333333333334,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2600,1,3,4.333333333333334,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2600,1,4,4.333333333333334,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2600,1,5,4.333333333333334,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2600,1,6,4.333333333333334,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2800,1,1,4.666666666666667,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2800,1,2,4.666666666666667,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2800,1,3,4.666666666666667,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2800,1,4,4.666666666666667,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2800,1,5,4.666666666666667,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2800,1,6,4.666666666666667,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3000,1,1,5.0,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3000,1,2,5.0,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3000,1,3,5.0,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3000,1,4,5.0,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3000,1,5,5.0,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3000,1,6,5.0,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3200,1,1,5.333333333333333,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3200,1,2,5.333333333333333,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3200,1,3,5.333333333333333,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3200,1,4,5.333333333333333,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3200,1,5,5.333333333333333,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3200,1,6,5.333333333333333,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3400,1,1,5.666666666666666,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3400,1,2,5.666666666666666,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3400,1,3,5.666666666666666,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3400,1,4,5.666666666666666,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3400,1,5,5.666666666666666,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3400,1,6,5.666666666666666,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3600,1,1,5.999999999999999,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3600,1,2,5.999999999999999,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3600,1,3,5.999999999999999,1.2,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3600,1,4,5.999999999999999,1.8,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3600,1,5,5.999999999999999,2.4,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3600,1,6,5.999999999999999,3.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
3800,1,1,6.333333333333332,0.0,B,620.0,3720.0000744,35.0,38.260581970214844,inverse_KAN,in_domain,ok
3800,1,2,6.333333333333332,0.6,B,620.0,3720.0000744,35.0,38.260581970214844,inverse_KAN,in_domain,ok
3800,1,3,6.333333333333332,1.2,B,620.0,3720.0000744,35.0,38.260581970214844,inverse_KAN,in_domain,ok
3800,1,4,6.333333333333332,1.8,B,620.0,3720.0000744,35.0,38.260581970214844,inverse_KAN,in_domain,ok
3800,1,5,6.333333333333332,2.4,B,620.0,3720.0000744,35.0,38.260581970214844,inverse_KAN,in_domain,ok
3800,1,6,6.333333333333332,3.0,B,620.0,3720.0000744,35.0,38.260581970214844,inverse_KAN,in_domain,ok
